lan,lon,type,name,capacity,visit_level,number_of_shifts,1_open,1_close,1_cap,2_open,2_close,2_cap,3_open,3_close,3_cap
59.9921959,29.784869,shopping,null,11,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9930566,29.7891139,work,Поликлиника № 74,14,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
59.9918302,29.7881973,work,Кронштадтский роддом,11,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9932872,29.7884366,shopping,Зоосервис,11,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9942299,29.7788896,shopping,Большая черепаха,19,any,1,11:00,23:00,1.0,null,null,null,null,null,null
60.0014232,29.7687808,shopping,Старая крепость,15,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
59.9962013,29.7632551,work,"Центр семейной медицины",13,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
59.9906732,29.7897503,work,Отделение связи №197762,17,any,2,08:00,13:00,0.5,14:00,20:00,0.5,null,null,null
60.0078946,29.7227782,store,null,0,any,null,null,null,null,null,null,null,null,null,null
59.9887923,29.7973863,work,Городская больница Святого Праведного Иоанна Кронштадского,10,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.007994,29.7224136,store,null,0,any,null,null,null,null,null,null,null,null,null,null
59.9980025,29.7675974,work,Социальная аптека №96,15,any,1,08:00,22:00,1.0,null,null,null,null,null,null
59.9897293,29.7706443,shopping,Фарт,16,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9953344,29.7645825,shopping,Мясной дворик,17,any,1,09:00,21:00,1.0,null,null,null,null,null,null
59.9944733,29.7634412,shopping,Зоотовары,11,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9958628,29.7691135,school,Детский сад №6,669,any,null,null,null,null,null,null,null,null,null,null
60.0074732,29.7411489,store,Магнит,0,any,null,null,null,null,null,null,null,null,null,null
59.9971281,29.7576894,work,Медиум,10,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.0101461,29.731125,shopping,Акварель,11,any,3,07:00:00,15:00:00,0.4,15:00:00,23:00:00,0.4,23:00:00,07:00:00,0.2
59.9900932,29.7729178,school,null,460,any,null,null,null,null,null,null,null,null,null,null
59.9926256,29.7827987,store,Островок,0,any,null,null,null,null,null,null,null,null,null,null
59.9926005,29.7829357,shopping,Островок,13,any,1,09:00,22:00,1.0,null,null,null,null,null,null
59.998111,29.7032141,shopping,null,18,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.011369,29.7298126,work,Пожарная часть № 46,13,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0130499,29.6978523,work,null,12,any,3,07:00:00,15:00:00,0.4,15:00:00,23:00:00,0.4,23:00:00,07:00:00,0.2
59.9902292,29.7746757,shopping,Солярий,13,any,1,09:00,22:00,1.0,null,null,null,null,null,null
60.0074853,29.7315416,education,Профессиональное училище №48,634,any,null,null,null,null,null,null,null,null,null,null
59.9927173,29.7888937,work,null,15,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
59.9939024,29.7633742,work,Отделение связи №197760,13,any,1,08:00,20:00,1.0,null,null,null,null,null,null
59.9981708,29.7630645,store,Продукты,0,any,null,null,null,null,null,null,null,null,null,null
59.9962191,29.7569016,work,Детская поликлиника № 55,15,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9880489,29.7898975,store,Продукты,0,any,null,null,null,null,null,null,null,null,null,null
59.9948966,29.7613623,shopping,Сказочный остров,10,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9949357,29.7612062,shopping,Симпатия,15,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.996587,29.7654511,shopping,Фиалка,17,any,1,10:00,20:00,1.0,null,null,null,null,null,null
59.9936195,29.7783505,store,null,0,any,null,null,null,null,null,null,null,null,null,null
60.0112904,29.7232677,store,null,0,any,null,null,null,null,null,null,null,null,null,null
60.0114895,29.7208001,work,Участковый пункт полиции,17,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.0106153,29.7196451,shopping,Sun Beauty,14,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0105585,29.7206878,shopping,Каприз,15,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.0114717,29.7193546,school,Детская музыкальная школа №8,645,any,null,null,null,null,null,null,null,null,null,null
60.0105976,29.7197032,work,Алоэ,14,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.997968,29.7637677,store,null,0,any,null,null,null,null,null,null,null,null,null,null
59.9926766,29.7579314,school,Детский сад №1,655,any,null,null,null,null,null,null,null,null,null,null
60.0033561,29.762601,shopping,null,16,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0033294,29.7608316,shopping,null,19,any,3,07:00:00,15:00:00,0.4,15:00:00,23:00:00,0.4,23:00:00,07:00:00,0.2
59.9934502,29.7629694,shopping,Кронштадтский дворец культуры,13,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9942802,29.7633916,shopping,Диана,15,any,1,10:00,21:00,1.0,null,null,null,null,null,null
60.0103944,29.7203684,shopping,Великолукские колбасы,12,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0115413,29.7206308,work,Библиотека семейного чтения,13,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.0107061,29.7193506,work,СПб ГУЗ Поликлиника №74,16,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0105231,29.7205279,shopping,Парное мясо,11,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
60.0103444,29.7207513,shopping,Маленькая Соня,16,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9917366,29.7800704,work,Полевое учреждение ЦБ РФ "Кронштадтское",14,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9927509,29.7621894,store,Продукты,0,any,null,null,null,null,null,null,null,null,null,null
59.997448,29.766291,shopping,null,18,any,3,07:00:00,15:00:00,0.4,15:00:00,23:00:00,0.4,23:00:00,07:00:00,0.2
60.0031981,29.7602759,shopping,Авторемонт,18,any,1,09:00,19:00,1.0,null,null,null,null,null,null
60.0034251,29.7597002,work,Петербургская топливная компания,15,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
60.0025624,29.7640069,shopping,Опорная площадка «контакт»,13,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9979328,29.7636301,shopping,Люнер,18,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
59.9998433,29.7615764,work,null,17,any,1,09:30:00,18:30:00,1,null,null,null,null,null,null
59.9955666,29.7647951,store,Универсам,0,any,null,null,null,null,null,null,null,null,null,null
59.998258,29.7688828,shopping,В дрова,15,any,1,09:00:00,18:00:00,1,null,null,null,null,null,null
